rank,index_url,states,issuer_ids,newest_sampled_last_updated_on,days_since_newest_attestation,file_url,records_sampled,last_updated_on_min,last_updated_on_max,fresh_http_code_2026-08-21,fresh_last_modified,fresh_etag,fresh_content_length,classification
1,https://www.aspirushealthplan.com/group-individual/files/json/index.json,WI,86584,2024-06-05,807,https://www.aspirushealthplan.com/group-individual/files/json/providers-ASPIRUSSIGN.json,1500,1990-01-01,2024-06-05,200,"Fri, 10 Oct 2025 14:14:41 GMT","""96ee6638f039dc1:0""",88012583,file-abandoned (HTTP Last-Modified itself >6 months old)
2,https://chppayment.christushealth.org/workfiles/json/index.json,LA;TX,98780;66252,2024-08-09,742,https://chppayment.christushealth.org/workfiles/json/HSP_PROVIDER.json,2188,1900-01-01,1900-01-01,206,"Wed, 22 Oct 2025 11:26:01 GMT","""cc2588a54643dc1:0""",108237264,file-abandoned (HTTP Last-Modified itself >6 months old)
2,https://chppayment.christushealth.org/workfiles/json/index.json,LA;TX,98780;66252,2024-08-09,742,https://chppayment.christushealth.org/workfiles/json/hcrprovider3.json,654,2024-08-09,2024-08-09,206,"Fri, 16 Aug 2024 02:47:47 GMT","""92d54ead86efda1:0""",203765984,file-abandoned (HTTP Last-Modified itself >6 months old)
3,https://healthy.kaiserpermanente.org/content/dam/kporg/data/hi/cms-data-index.json,HI,60612,2025-08-05,381,https://healthy.kaiserpermanente.org/content/dam/kporg/data/hi/providers.json,802,2025-08-05,2025-08-05,200,"Wed, 19 Aug 2026 06:51:36 GMT",,,"regenerated-not-reattested (fresh HTTP Last-Modified, but newest record last_updated_on >6 months old)"
4,https://public-cdn.wellmark.com/json/WSD/index.json,SD,50305,2025-09-15,340,https://public-cdn.wellmark.com/json/WSD/providers.json,3912,2025-09-15,2025-09-15,200,"Fri, 12 Jun 2026 19:52:28 GMT","""7a2fc4aa8a810331f26d74f91fc91451-3""",19496159,"regenerated-not-reattested (fresh HTTP Last-Modified, but newest record last_updated_on >6 months old)"
5,https://portal.insuringsmiles.com/machinereadablefiles/cms/cms-data-index.json,IN;MI;OH,33086;95233;25945,2025-09-16,339,https://portal.insuringsmiles.com/machinereadablefiles/CMS/providers.json,4608,2025-09-16,2025-09-16,200,"Tue, 18 Aug 2026 23:42:26 GMT","""0dd47396b2fdd1:0""",179220747,"regenerated-not-reattested (fresh HTTP Last-Modified, but newest record last_updated_on >6 months old)"
6,https://healthy.kaiserpermanente.org/content/dam/kporg/data/or/cms-data-index.json,OR,71287,2025-09-29,326,https://healthy.kaiserpermanente.org/content/dam/kporg/data/or/providers.json,1956,2025-09-29,2025-09-29,200,"Wed, 19 Aug 2026 12:52:01 GMT",,,"regenerated-not-reattested (fresh HTTP Last-Modified, but newest record last_updated_on >6 months old)"
7,https://dentaquest.com/getattachment/Marketplace/CMSDataIndex/cms-data-index.json,AZ;FL;IN;LA;MO;OH;TN;TX,12303;59667;43433;11904;58883;34964;43878;58609,2025-10-10,315,https://www.dentaquest.com/content/dam/dentaquest/en/cms/DQ-providers.json,8413,2025-10-10,2025-10-10,200,"Fri, 10 Oct 2025 21:11:40 GMT","""0x8DE08419B606632""",13770956,file-abandoned (HTTP Last-Modified itself >6 months old)
7,https://dentaquest.com/getattachment/Marketplace/CMSDataIndex/cms-data-index.json,AZ;FL;IN;LA;MO;OH;TN;TX,12303;59667;43433;11904;58883;34964;43878;58609,2025-10-10,315,https://www.dentaquest.com/content/dam/dentaquest/en/cms/DQ-providers-2025.json,8696,2025-08-20,2025-08-20,200,"Fri, 19 Sep 2025 21:36:06 GMT","""0x8DDF7C48AAAAB76""",13711799,file-abandoned (HTTP Last-Modified itself >6 months old)
8,https://api.antidotehealth.ai/antidote-index-oh-2026.json,OH,31981,2025-11-09,285,https://api.antidotehealth.ai/antidote-provider-antidote-oh-2026.json,17423,2025-11-09,2025-11-09,200,"Wed, 26 Nov 2025 07:44:32 GMT","""c9fc0e90041e50e1749fb4a223035872""",49640279,file-abandoned (HTTP Last-Modified itself >6 months old)
